"Player","Team","Position","Rk","Status","Opponent","Salary","Score","% Owned","+/-","GP","MIN","FGM","FGA","FG%","FTM","FTA","FT%","3PTM","REB","AST","ST","BLK","TO","PTS"
"Malcolm Delaney","(N/A)","PG,SG,G,Flx","917","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Stephen Dennis","(N/A)","PG,G,Flx","918","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marcus Derrickson","(N/A)","PF,F,Flx","919","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Boris Diaw","(N/A)","PF,F,C,Flx","920","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ike Diogu","(N/A)","PF,F,C,Flx","921","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DeSagana Diop","(N/A)","C,Flx","922","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Juan Dixon","(N/A)","PG,SG,G,Flx","923","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chris Douglas-Roberts","(N/A)","SG,G,SF,F,Flx","924","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mike Dunleavy","(N/A)","SG,G,SF,F,Flx","925","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shane Edwards","(N/A)","SF,F,Flx","926","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"John Egbunu","(N/A)","C,Flx","927","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Eglseder","(N/A)","C,Flx","928","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nnanna Egwu","(N/A)","C,Flx","929","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Moses Ehambe","(N/A)","SG,G,SF,F,Flx","930","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Monta Ellis","(N/A)","PG,SG,G,Flx","931","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Perry Ellis","(N/A)","PF,F,Flx","932","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Melvin Ely","(N/A)","PF,F,C,Flx","933","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andre Emmett","(N/A)","SG,G,Flx","934","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kim English","(N/A)","PG,SG,G,Flx","935","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Ennis","(N/A)","PG,G,Flx","936","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Micheal Eric","(N/A)","PF,F,C,Flx","937","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jeremy Evans","(N/A)","SF,PF,F,Flx","938","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Maurice Evans","(N/A)","SG,G,SF,F,Flx","939","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Reggie Evans","(N/A)","PF,F,C,Flx","940","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Patrick Ewing Jr.","(N/A)","SF,F,Flx","941","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Christian Eyenga","(N/A)","SF,F,Flx","942","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jarrid Famous","(N/A)","PF,F,C,Flx","943","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Courtney Fells","(N/A)","SG,G,Flx","944","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Vashil Fernandez","(N/A)","C,Flx","945","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michael Fey","(N/A)","C,Flx","946","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brandon Fields","(N/A)","SG,G,Flx","947","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Landry Fields","(N/A)","SG,G,SF,F,Flx","948","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Skyler Flatten","(N/A)","SG,G,Flx","949","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyle Fogg","(N/A)","PG,SG,G,Flx","950","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Quincy Ford","(N/A)","SF,F,Flx","951","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Randy Foye","(N/A)","PG,SG,G,Flx","952","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jimmer Fredette","(N/A)","PG,SG,G,Flx","953","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joel Freeland","(N/A)","PF,F,C,Flx","954","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kenny Gabriel","(N/A)","SF,F,Flx","955","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Abdul Gaddy","(N/A)","PG,G,Flx","956","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jakeenan Gant","(N/A)","SG,G,Flx","957","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jorge Garbajosa","TOR","SF,PF,F,C,Flx","958","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Patricio Garino","(N/A)","SG,G,Flx","959","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kevin Garnett","(N/A)","PF,F,C,Flx","960","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kaiser Gates","(N/A)","SF,F,Flx","961","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michael Gbinije","(N/A)","SF,F,Flx","962","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alonzo Gee","DEN","SG,G,SF,F,Flx","963","FA","@PHI Tue 8:00PM","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marcus Georges-Hunt","BOS","SG,G,Flx","964","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jonathan Gibson","(N/A)","PG,SG,G,Flx","965","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Gist","SA","SF,PF,F,Flx","966","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Drew Gooden","WAS","PF,F,C,Flx","967","FA","@CHA Tue 7:00PM","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Vernon Goodridge","(N/A)","PF,F,Flx","968","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Archie Goodwin","POR","PG,SG,G,Flx","969","FA","NY Tue 10:00PM","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Danny Granger","(N/A)","SF,F,Flx","970","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Donte Grantham","(N/A)","SG,G,Flx","971","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rob Gray","HOU","PG,G,Flx","972","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Taj Gray","(N/A)","SF,PF,F,Flx","973","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Erick Green","UTA","PG,SG,G,Flx","974","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Willie Green","(N/A)","SG,G,Flx","975","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eric Griffin","UTA","SF,F,Flx","976","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jorge Gutierrez","(N/A)","PG,G,Flx","977","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Isaac Haas","(N/A)","C,Flx","978","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marcus Haislip","SA","PF,F,Flx","979","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Donta Hall","(N/A)","SF,F,Flx","980","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mike Hall","WAS","SF,PF,F,Flx","981","FA","@CHA Tue 7:00PM","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Isaac Hamilton","CLE","SG,G,Flx","982","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Johnny Hamilton","DET","C,Flx","983","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Justin Hamilton","(N/A)","PF,F,C,Flx","984","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A.J. Hammons","MIA","C,Flx","985","FA","ATL Tue 8:00PM","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Hansbrough","(N/A)","PF,F,C,Flx","986","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anfernee Hardaway","MIA","PG,SG,G,SF,PF,F,Flx","987","FA","ATL Tue 8:00PM","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Demonte Harper","(N/A)","PG,SG,G,Flx","988","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Elias Harris","LAL","SF,PF,F,Flx","989","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jason Hart","MIN","PG,G,Flx","990","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Spencer Hawes","(N/A)","PF,F,C,Flx","991","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nigel Hayes","SAC","PF,F,Flx","992","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luther Head","SAC","PG,SG,G,Flx","993","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Reggie Hearn","(N/A)","SG,G,Flx","994","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gerald Henderson","PHI","SG,G,SF,F,Flx","995","FA","DEN Tue 8:00PM","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Myke Henry","(N/A)","SF,F,Flx","996","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Isaiah Hicks","(N/A)","PF,F,Flx","997","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Stephan Hicks","IND","SG,G,Flx","998","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Haywood Highsmith","(N/A)","SG,G,Flx","999","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ahmed Hill","(N/A)","SG,G,Flx","1000","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Hill","(N/A)","PF,F,C,Flx","1001","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Amir Hinton","(N/A)","PG,G,Flx","1002","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"John Holland","CLE","SG,G,Flx","1003","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aric Holman","(N/A)","PF,F,Flx","1004","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jonathan Holmes","(N/A)","PF,F,Flx","1005","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Daulton Hommes","(N/A)","SF,F,Flx","1006","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Honeycutt","HOU","SF,F,Flx","1007","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Scotty Hopson","OKC","SG,G,Flx","1008","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Richard Howell","(N/A)","PF,F,Flx","1009","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Isaac Humphries","(N/A)","PF,F,Flx","1010","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kris Humphries","(N/A)","PF,F,C,Flx","1011","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"R.J. Hunter","(N/A)","SG,G,Flx","1012","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mile Ilic","NO","C,Flx","1013","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Damien Inglis","NY","SF,F,Flx","1014","FA","@POR Tue 10:00PM","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ike Iroegbu","(N/A)","SG,G,Flx","1015","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jarrett Jack","NO","PG,SG,G,Flx","1016","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aaron Jackson","(N/A)","PG,G,Flx","1017","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pierre Jackson","DAL","PG,G,Flx","1018","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Damion James","WAS","SF,F,Flx","1019","FA","@CHA Tue 7:00PM","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dominic James","(N/A)","PG,SG,G,Flx","1020","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Al Jefferson","(N/A)","PF,F,C,Flx","1021","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Richard Jefferson","(N/A)","SG,G,SF,F,Flx","1022","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"John Jenkins","(N/A)","SG,G,SF,F,Flx","1023","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brandon Jennings","MIL","PG,G,Flx","1024","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yi Jianlian","(N/A)","PF,F,C,Flx","1025","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DerMarr Johnson","(N/A)","SG,G,SF,F,Flx","1026","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jaylen Johnson","CHI","SF,F,Flx","1027","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nick Johnson","SA","SG,G,Flx","1028","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Darius Johnson-Odom","MIN","SG,G,Flx","1029","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dominique Jones","DAL","PG,SG,G,Flx","1030","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Perry Jones","(N/A)","SF,PF,F,Flx","1031","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Terrence Jones","HOU","SF,PF,F,Flx","1032","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Myck Kabongo","SA","PG,G,Flx","1033","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nikola Kalinic","(N/A)","SF,F,Flx","1034","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chris Kaman","(N/A)","PF,F,C,Flx","1035","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jason Kapono","GS","SG,G,SF,F,Flx","1036","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tre Kelley","(N/A)","PG,G,Flx","1037","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"D.J. Kennedy","(N/A)","SG,G,SF,F,Flx","1038","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sean Kilpatrick","(N/A)","PG,SG,G,Flx","1039","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andrei Kirilenko","PHI","SF,PF,F,Flx","1040","FA","DEN Tue 8:00PM","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Linas Kleiza","TOR","SF,F,Flx","1041","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Adam Koch","(N/A)","SG,G,SF,F,Flx","1042","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bronson Koenig","(N/A)","SG,G,Flx","1043","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yaroslav Korolev","LAC","SF,PF,F,Flx","1044","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"David Kramer","(N/A)","PG,G,Flx","1045","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Viacheslav Kravtsov","PHO","C,Flx","1046","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mindaugas Kuzminskas","NY","SF,PF,F,Flx","1047","FA","@POR Tue 10:00PM","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michale Kyser","(N/A)","PF,F,Flx","1048","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Trevor Lacey","(N/A)","PG,G,Flx","1049","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nicolas Laprovittola","SA","PG,G,Flx","1050","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Terry Larrier","(N/A)","PF,F,Flx","1051","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joffrey Lauvergne","(N/A)","PF,F,C,Flx","1052","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ty Lawson","(N/A)","PG,G,Flx","1053","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marcus Lee","MIA","C,Flx","1054","FA","ATL Tue 8:00PM","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dwight Lewis","(N/A)","SG,G,Flx","1055","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DeAndre Liggins","MIA","SG,G,SF,F,Flx","1056","FA","ATL Tue 8:00PM","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sheldon Mac","ATL","SG,G,Flx","1057","FA","@MIA Tue 8:00PM","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Scott Machado","LAL","PG,SG,G,Flx","1058","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matur Maker","(N/A)","C,Flx","1059","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Devyn Marble","(N/A)","SG,G,SF,F,Flx","1060","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shawn Marion","(N/A)","SG,G,SF,F,Flx","1061","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cartier Martin","(N/A)","SG,G,SF,F,Flx","1062","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jeremiah Martin","(N/A)","PG,G,Flx","1063","FA","","1.00","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kenyon Martin","MIL","PF,F,C,Flx","1064","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Roger Mason Jr.","SAC","SG,G,Flx","1065","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CJ Massinburg","(N/A)","PG,G,Flx","1066","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mangok Mathiang","CHA","PF,F,C,Flx","1067","FA","WAS Tue 7:00PM","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"O.J. Mayo","(N/A)","PG,SG,G,Flx","1068","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Michael McAdoo","PHI","PF,F,Flx","1069","FA","DEN Tue 8:00PM","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tahjere McCall","(N/A)","SG,G,Flx","1070","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Erik McCree","UTA","SF,F,Flx","1071","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chris McCullough","DET","PF,F,Flx","1072","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"K.J. McDaniels","(N/A)","SF,F,Flx","1073","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"William McDowell-White","(N/A)","SG,G,Flx","1074","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mitch McGary","(N/A)","PF,F,C,Flx","1075","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Josh McRoberts","DAL","PF,F,C,Flx","1076","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jodie Meeks","(N/A)","SG,G,Flx","1077","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Fab Melo","DAL","C,Flx","1078","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eric Mika","(N/A)","C,Flx","1079","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Isaiah Miles","(N/A)","SF,F,Flx","1080","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Darko Milicic","BOS","C,Flx","1081","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mike Miller","(N/A)","SG,G,SF,F,Flx","1082","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Elijah Millsap","(N/A)","SG,G,SF,F,Flx","1083","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nick Minnerath","CLE","PF,F,Flx","1084","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tommy Mitchell","(N/A)","PG,SG,G,Flx","1085","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luis Montero","DET","SF,F,Flx","1086","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matt Mooney","(N/A)","PG,G,Flx","1087","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ben Moore","(N/A)","SF,F,Flx","1088","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Doral Moore","(N/A)","C,Flx","1089","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jeremy Morgan","MEM","SG,G,Flx","1090","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Darius Morris","NO","PG,SG,G,Flx","1091","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jaylen Morris","MIL","SG,G,Flx","1092","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brock Motum","(N/A)","PF,F,Flx","1093","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Timofey Mozgov","(N/A)","C,Flx","1094","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shabazz Muhammad","MIL","SG,G,SF,F,Flx","1095","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mychal Mulder","(N/A)","PG,G,Flx","1096","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Byron Mullens","(N/A)","PF,F,C,Flx","1097","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Murphy","(N/A)","SG,G,Flx","1098","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hamady Ndiaye","(N/A)","C,Flx","1099","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
