"Player","Team","Position","Rk","Status","Opponent","Salary","Score","% Owned","+/-","GP","MIN","FGM","FGA","FG%","FTM","FTA","FT%","3PTM","REB","AST","ST","BLK","TO","PTS"
"Taurean Prince","BKN","SF,PF,F,Flx","116","Nate","","1.00","68.18","88%","-0.7%","23","30.5","4.8","11.8",".408","1.0","1.3",".742","2.7","6.2","2.2","0.9","0.4","2.1","13.4"
"Goran Dragic","MIA","PG,SG,G,Flx","117","Tim","ATL Tue 8:00PM","1.00","59.87","88%","-1.1%","18","28.7","5.4","11.6",".466","3.0","4.2",".711","2.2","3.2","5.0","0.7","0.2","2.6","15.9"
"Justise Winslow","MIA","PG,G,PF,F,Flx","118","Twats","ATL Tue 8:00PM","1.00","34.43","88%","-2%","10","33.7","5.0","12.7",".394","1.8","2.7",".667","0.6","7.1","4.3","0.6","0.4","2.3","12.4"
"Dennis Schroder","OKC","PG,G,Flx","119","tRB","","1.00","66.9","88%","-0.3%","23","29.3","6.5","14.2",".459","2.2","2.7",".806","1.5","3.7","3.5","0.7","0.3","2.6","16.7"
"Richaun Holmes","SAC","PF,F,C,Flx","120","TM2","","1.00","68.78","86%","0%","23","29.3","5.3","7.9",".669","2.0","2.5",".793","0.0","8.6","1.0","1.0","1.4","0.9","12.5"
"Joe Harris","BKN","SG,G,SF,F,Flx","121","GOLD","","1.00","63.95","85%","-0.9%","23","31.6","5.5","11.3",".483","1.0","1.2",".815","2.9","3.8","2.1","0.7","0.3","1.3","14.8"
"Davis Bertans","WAS","PF,F,C,Flx","122","BoM","@CHA Tue 7:00PM","1.00","66.89","85%","-0.5%","22","28.9","5.0","10.7",".464","1.2","1.4",".867","3.8","4.5","1.6","0.6","0.6","0.6","14.9"
"Tomas Satoransky","CHI","PG,SG,G,Flx","123","Levine","","2.00","65.48","85%","-1.4%","25","27.4","3.4","7.7",".440","1.5","1.7",".881","1.2","3.3","5.4","1.5","0.1","2.0","9.4"
"Kyle Kuzma","LAL","SF,PF,F,Flx","124","GAV","","3.00","44.99","84%","-2.2%","20","23.1","4.0","9.3",".433","1.4","1.9",".692","1.6","3.4","0.8","0.3","0.4","1.8","11.1"
"PJ Washington","CHA","SF,PF,F,Flx","125","D","WAS Tue 7:00PM","1.00","70.93","84%","-1%","25","28.3","4.5","9.1",".491","1.8","2.5",".698","1.4","5.1","1.8","1.1","0.8","1.2","12.1"
"Brandon Clarke","MEM","PF,F,C,Flx","126","Nate","","6.00","48.5","84%","-2.4%","18","21.2","5.1","8.1",".630","1.1","1.3",".826","0.6","5.9","1.3","0.5","0.9","1.1","11.8"
"P.J. Tucker","HOU","SF,PF,F,Flx","127","GREEK","","1.00","63.37","83%","-1.7%","23","35.8","3.6","7.0",".509","0.7","0.9",".800","2.0","7.1","1.4","1.3","0.5","1.0","9.8"
"Otto Porter Jr.","CHI","SF,PF,F,Flx","128","GOLD","","23.00","25.7","82%","-0.9%","9","25.1","3.9","9.3",".417","1.7","2.2",".750","1.8","3.4","1.6","1.0","0.3","0.8","11.2"
"Eric Paschall","GS","SF,PF,F,Flx","129","tRB","","1.00","64.35","82%","-0.7%","24","31.5","6.1","12.3",".497","3.6","4.5",".813","0.7","5.2","1.7","0.4","0.4","1.7","16.6"
"Marc Gasol","TOR","C,Flx","130","FA","","10.00","59.88","81%","-1.7%","23","28.8","2.1","6.3",".340","0.8","1.0",".792","1.2","6.3","3.5","0.7","1.2","1.3","6.3"
"Markelle Fultz","ORL","PG,SG,G,Flx","131","BoM","","8.00","59.28","81%","-1.7%","23","25.8","4.9","10.3",".479","1.8","2.3",".792","0.3","2.7","4.1","1.3","0.2","1.8","12.0"
"Tyler Herro","MIA","SG,G,SF,F,Flx","132","Twats","ATL Tue 8:00PM","3.00","61.19","81%","-2.8%","22","28.9","5.3","11.9",".448","1.8","2.1",".830","2.1","4.0","2.0","0.8","0.1","2.0","14.5"
"Kendrick Nunn","MIA","PG,SG,G,Flx","133","GREEK","ATL Tue 8:00PM","1.00","64.95","79%","-2.3%","23","30.0","6.1","13.7",".444","1.1","1.4",".788","2.0","2.5","3.4","1.0","0.3","2.1","15.3"
"Patrick Beverley","LAC","PG,SG,G,Flx","134","Levine","","1.00","60.14","77%","-2%","23","29.9","2.8","7.1",".396","0.6","1.0",".609","1.3","6.4","3.3","1.5","0.5","1.5","7.6"
"Willie Cauley-Stein","GS","PF,F,C,Flx","135","BoM","","1.00","57.26","77%","-2.5%","22","22.4","3.5","6.4",".557","1.0","1.4",".677","0.0","6.5","1.6","1.0","1.2","1.0","8.0"
"Carmelo Anthony","POR","SF,PF,F,Flx","136","GREEK","NY Tue 10:00PM","1.00","35.22","76%","-1%","10","31.8","6.0","14.7",".408","2.5","2.9",".862","1.4","5.8","1.5","1.1","0.2","2.1","15.9"
"Cody Zeller","CHA","PF,F,C,Flx","137","Levine","WAS Tue 7:00PM","1.00","56.95","74%","-2.8%","22","23.5","4.6","8.5",".537","1.5","2.3",".647","0.6","7.6","1.2","0.5","0.5","1.6","11.3"
"Aron Baynes","PHO","C,Flx","138","FA","","1.00","47.75","73%","-3.2%","14","23.4","5.4","9.7",".559","1.7","2.4",".706","1.9","5.6","2.8","0.3","0.7","1.1","14.5"
"Alec Burks","GS","PG,SG,G,Flx","139","FA","","1.00","67.72","72%","-1.6%","22","29.2","5.0","11.9",".420","3.6","4.1",".889","1.5","4.5","3.0","1.1","0.3","1.5","15.1"
"Nemanja Bjelica","SAC","PF,F,Flx","140","Nate","","1.00","67.13","71%","-1.7%","23","26.5","4.6","9.5",".479","0.7","0.7",".941","1.9","6.8","2.7","1.0","0.6","1.7","11.7"
"Coby White","CHI","PG,G,Flx","141","Twats","","9.00","60.84","71%","-2.6%","25","25.3","4.3","12.0",".358","1.3","1.7",".786","2.0","3.7","2.4","0.7","0.0","1.5","11.9"
"Gary Harris","DEN","SG,G,SF,F,Flx","142","BoM","@PHI Tue 8:00PM","12.00","51.74","71%","-4.1%","21","31.8","4.0","9.7",".414","1.0","1.4",".759","1.5","3.1","1.9","1.1","0.3","1.0","10.6"
"Jae Crowder","MEM","SF,PF,F,Flx","143","FA","","1.00","65.43","70%","-2.6%","23","31.0","3.5","9.0",".386","1.5","2.0",".739","2.1","6.0","2.7","1.0","0.3","1.4","10.5"
"Rudy Gay","SA","SF,PF,F,Flx","144","FA","","1.00","59.34","70%","-4.8%","23","23.1","4.2","9.1",".459","2.1","2.3",".889","0.9","5.9","1.9","0.4","0.6","1.7","11.3"
"Danuel House Jr.","HOU","SG,G,SF,F,Flx","145","MARCO","","1.00","51.5","69%","-1.7%","17","29.8","3.9","8.5",".455","1.8","2.2",".811","2.5","4.2","1.4","1.1","0.6","0.9","12.1"
"Joe Ingles","UTA","SG,G,SF,F,Flx","146","FA","","4.00","56.01","69%","-1.8%","24","27.8","2.5","6.8",".366","1.0","1.3",".750","1.5","4.0","4.0","1.0","0.1","1.7","7.5"
"Moritz Wagner","WAS","PF,F,C,Flx","147","GOLD","@CHA Tue 7:00PM","1.00","55.68","68%","-1.6%","20","20.2","4.5","7.7",".588","1.6","2.0",".825","1.1","6.0","1.3","0.8","0.6","2.1","11.8"
"DeAndre Hunter","ATL","SF,F,Flx","148","tRB","@MIA Tue 8:00PM","5.00","56.52","67%","-2.9%","22","31.5","4.3","10.9",".393","1.9","2.3",".804","1.7","4.0","1.9","0.6","0.2","1.8","12.1"
"Josh Hart","NO","SG,G,SF,F,Flx","149","TM2","","1.00","49.65","67%","-6%","17","27.3","3.8","9.0",".418","1.5","2.0",".765","2.2","6.2","1.5","1.0","0.4","1.2","11.2"
"Kevin Huerter","ATL","SG,G,Flx","150","D","@MIA Tue 8:00PM","1.00","29.14","66%","-1%","12","22.0","2.9","6.9",".422","1.0","1.3",".800","1.7","3.2","3.0","0.8","0.4","1.4","8.5"
"Tim Hardaway Jr.","DAL","SG,G,SF,F,Flx","151","FA","","1.00","57.1","65%","-5%","23","24.8","4.5","10.3",".433","1.8","2.2",".820","2.4","2.1","1.8","0.6","0.1","0.5","13.2"
"Terrence Ross","ORL","SG,G,SF,F,Flx","152","FA","","1.00","55.6","65%","-1.4%","21","24.4","4.7","11.2",".419","2.0","2.4",".840","2.0","3.0","1.0","0.9","0.3","1.2","13.5"
"Norman Powell","TOR","SG,G,SF,F,Flx","153","MARCO","","1.00","63.15","65%","-3.2%","23","28.0","4.8","10.3",".466","2.0","2.5",".810","1.7","3.9","1.6","1.0","0.3","1.5","13.3"
"Dwight Howard","LAL","PF,F,C,Flx","154","FA","","1.00","55.29","64%","-3.5%","24","20.0","2.8","3.7",".742","1.5","2.8",".522","0.0","7.0","0.8","0.4","1.4","1.1","7.0"
